Venue,Serial,Port,Location,Group,bathroomLocationOnNetgear
Amerant Bank Arena,000000006bee4ac8,1,105W 01,105W,105W
Amerant Bank Arena,000000007f61eaf9,2,105W 02,105W,105W
Amerant Bank Arena,0000000057316f3e,N/A,105W 03,105W,105W
Amerant Bank Arena,00000000f0ab7fc2,3,105W 04,105W,105W
Amerant Bank Arena,00000000603e401e,1,107M 01,107M,107M
Amerant Bank Arena,000000004fbc9f62,N/A,107M 02,107M,107M
Amerant Bank Arena,00000000a9ffafcd,5,107M 03,107M,107M
Amerant Bank Arena,00000000a5547fc1,N/A,107M 04,107M,107M
Amerant Bank Arena,0000000013acc6de,9,107M 05,107M,107M
Amerant Bank Arena,00000000691ccce4,11,107M 06,107M,107M
Amerant Bank Arena,000000003db88d8d,N/A,107M 07,107M,107M
Amerant Bank Arena,000000005fcaf61d,N/A,107M 08,107M,107M
Amerant Bank Arena,00000000c7e9c65d,17,107M 09,107M,107M
Amerant Bank Arena,000000007b8b1508,7,108W 01,108W,108W
Amerant Bank Arena,000000007eff4a2a,5,108W 02,108W,108W
Amerant Bank Arena,00000000b8d11744,3,108W 03,108W,108W
Amerant Bank Arena,00000000edfa8984,1,108W 04,108W,108W
Amerant Bank Arena,00000000ed9a90f4,1,109W 01,109W,109W
Amerant Bank Arena,000000002eba9617,3,109W 02,109W,109W
Amerant Bank Arena,000000000417a045,N/A,109W 03,109W,109W
Amerant Bank Arena,00000000ba2161e9,N/A,109W 04,109W,109W
Amerant Bank Arena,00000000068e2ef1,9,109W 05,109W,109W
Amerant Bank Arena,00000000d5329088,N/A,111W 01,111W,111W
Amerant Bank Arena,00000000a23a5492,N/A,111W 02,111W,111W
Amerant Bank Arena,00000000c2f9fb7c,5,111W 03,111W,111W
Amerant Bank Arena,00000000d655ee4d,N/A,111W 04,111W,111W
Amerant Bank Arena,00000000e14092a9,9,112M 01,112M,112M
Amerant Bank Arena,00000000ebcfc227,11,112M 02,112M,112M
Amerant Bank Arena,000000008d313c76,13,112M 03,112M,112M
Amerant Bank Arena,00000000cd86e93f,15,112M 04,112M,112M
Amerant Bank Arena,00000000c50a529c,17,112M 05,112M,112M
Amerant Bank Arena,000000009d0ea760,7,112M 06,112M,112M
Amerant Bank Arena,000000000d81d22b,5,112M 07,112M,112M
Amerant Bank Arena,00000000b1dbe11b,3,112M 08,112M,112M
Amerant Bank Arena,00000000f81e93d8,1,112M 09,112M,112M
Amerant Bank Arena,0000000059dc4b07,N/A,114W 01,114W,114W
Amerant Bank Arena,39247651,N/A,114W 02,114W,114W
Amerant Bank Arena,00000000728fb9df,3,114W 03,114W,114W
Amerant Bank Arena,00000000d37c784f,1,114W 04,114W,114W
Amerant Bank Arena,000000005d2347e6,N/A,115M 01,115M,115M
Amerant Bank Arena,00000000588c132e,N/A,115M 02,115M,115M
Amerant Bank Arena,00000000bffb861a,N/A,115M 03,115M,115M
Amerant Bank Arena,0000000033da70eb,7,115M 04,115M,115M
Amerant Bank Arena,00000000324844ca,N/A,115M 05,115M,115M
Amerant Bank Arena,00000000dd72a202,N/A,115M 06,115M,115M
Amerant Bank Arena,00000000cd08571d,N/A,115M 07,115M,115M
Amerant Bank Arena,0000000002a60f10,N/A,115M 08,115M,115M
Amerant Bank Arena,0000000074b94e9e,N/A,121M 01,121M,121M
Amerant Bank Arena,000000009b9d6e1f,N/A,121M 02,121M,121M
Amerant Bank Arena,00000000f9212315,5,121M 03,121M,121M
Amerant Bank Arena,000000000787df87,N/A,121M 04,121M,121M
Amerant Bank Arena,00000000045bdf69,9,121M 05,121M,121M
Amerant Bank Arena,0000000099fa43b2,N/A,121M 06,121M,121M
Amerant Bank Arena,000000006b9636b4,N/A,121M 07,121M,121M
Amerant Bank Arena,00000000044b6066,N/A,121M 08,121M,121M
Amerant Bank Arena,00000000d0281f28,N/A,122W 01,122W,122W
Amerant Bank Arena,000000005ea2ac1a,N/A,122W 02,122W,122W
Amerant Bank Arena,00000000a8fdfadc,N/A,122W 03,122W,122W
Amerant Bank Arena,00000000439922a6,N/A,122W 04,122W,122W
Amerant Bank Arena,000000005936f5e9,N/A,124M 01,124M,124M
Amerant Bank Arena,00000000bdf341e1,3,124M 02,124M,124M
Amerant Bank Arena,000000002c133e9d,5,124M 03,124M,124M
Amerant Bank Arena,000000004cb8a687,7,124M 04,124M,124M
Amerant Bank Arena,000000005cc018cc,N/A,124M 05,124M,124M
Amerant Bank Arena,000000009833d39b,N/A,124M 06,124M,124M
Amerant Bank Arena,000000006d856ab7,N/A,124M 07,124M,124M
Amerant Bank Arena,00000000d4ce7ea4,N/A,124M 08,124M,124M
Amerant Bank Arena,000000000db12f6c,N/A,124M 09,124M,124M
Amerant Bank Arena,000000000b23e2e7,N/A,124M 10,124M,124M
Amerant Bank Arena,00000000f5a73dd6,N/A,124M 11,124M,124M
Amerant Bank Arena,00000000235cb541,N/A,125W 01,125W,125W
Amerant Bank Arena,6.7326E+086,5,125W 02,125W,125W
Amerant Bank Arena,000000009a7c5035,3,125W 03,125W,125W
Amerant Bank Arena,00000000743e0907,1,125W 04,125W,125W
Amerant Bank Arena,0000000066d59aab,7,127W 01,127W,127W
Amerant Bank Arena,000000004a583b64,5,127W 02,127W,127W
Amerant Bank Arena,00000000613570a1,9,127W 03,127W,127W
Amerant Bank Arena,00000000f0e0a9d9,3,127W 04,127W,127W
Amerant Bank Arena,00000000bba878a3,N/A,127W 05,127W,127W
Amerant Bank Arena,00000000d41c85a3,7,128W 01,128W,128W
Amerant Bank Arena,00000000be530078,5,128W 02,128W,128W
Amerant Bank Arena,0000000061b1ae72,3,128W 03,128W,128W
Amerant Bank Arena,00000000195c5cc9,N/A,128W 04,128W,128W
Amerant Bank Arena,000000007ae56151,N/A,129M 01,129M,129M
Amerant Bank Arena,00000000231b3173,N/A,129M 02,129M,129M
Amerant Bank Arena,000000002bd74bac,N/A,129M 03,129M,129M
Amerant Bank Arena,0000000093637d1a,N/A,129M 04,129M,129M
Amerant Bank Arena,00000000bca5c131,N/A,129M 05,129M,129M
Amerant Bank Arena,0000000048fc0cdf,11,129M 06,129M,129M
Amerant Bank Arena,00000000bfc6046e,N/A,129M 07,129M,129M
Amerant Bank Arena,000000005777999e,15,129M 08,129M,129M
Amerant Bank Arena,0000000091b24230,N/A,129M 09,129M,129M
Amerant Bank Arena,00000000f5349e8c,N/A,129M 10,129M,129M
Amerant Bank Arena,000000002b8f39ef,21,129M 11,129M,129M
Amerant Bank Arena,000000000f8d3998,7,130W 01,130W,130W
Amerant Bank Arena,000000006e82ba78,N/A,130W 02,130W,130W
Amerant Bank Arena,0000000057d2689c,5,130W 03,130W,130W
Amerant Bank Arena,00000000e1cc8429,1,130W 04,130W,130W
Amerant Bank Arena,000000006a4dc328,N/A,304M 01,304M,304M
Amerant Bank Arena,00000000f359adb4,12,304M 02,304M,304M
Amerant Bank Arena,00000000c9fe500f,N/A,304M 03,304M,304M
Amerant Bank Arena,0000000024271cca,7,304M 04,304M,304M
Amerant Bank Arena,00000000913dbec2,6,304M 05,304M,304M
Amerant Bank Arena,000000003ff1e35a,4,304M 06,304M,304M
Amerant Bank Arena,6.56E+022,1,304M 07,304M,304M
Amerant Bank Arena,00000000f618856a,12,304W 01,304W,304W
Amerant Bank Arena,000000002769ce0e,10,304W 02,304W,304W
Amerant Bank Arena,00000000dc404d5f,7,304W 03,304W,304W
Amerant Bank Arena,0000000015a35043,5,304W 04,304W,304W
Amerant Bank Arena,00000000fffb610f,4,304W 05,304W,304W
Amerant Bank Arena,000000004da4d3f5,14,304W 06,304W,304W
Amerant Bank Arena,00000000507aeaa3,1,304W 07,304W,304W
Amerant Bank Arena,0000000019b1590c,7,308W 01,308W,308W
Amerant Bank Arena,0000000056ea67a3,5,308W 02,308W,308W
Amerant Bank Arena,00000000e3f444d6,3,308W 03,308W,308W
Amerant Bank Arena,000000001afb87cd,1,308W 04,308W,308W
Amerant Bank Arena,0000000051c034cc,1,310M 01,310M,310M
Amerant Bank Arena,00000000b61c2c67,3,310M 02,310M,310M
Amerant Bank Arena,000000002fec6d8b,N/A,310M 03,310M,310M
Amerant Bank Arena,000000003537d8e6,7,310M 04,310M,310M
Amerant Bank Arena,00000000e308a5dd,N/A,310M 05,310M,310M
Amerant Bank Arena,00000000546d1b3b,11,310M 06,310M,310M
Amerant Bank Arena,00000000b4a091e7,13,310M 07,310M,310M
Amerant Bank Arena,00000000dabd3de9,15,310M 08,310M,310M
Amerant Bank Arena,00000000ba17c92e,17,310M 09,310M,310M
Amerant Bank Arena,00000000a3ec2405,19,310M 10,310M,310M
Amerant Bank Arena,000000006663ea4a,N/A,310M 11,310M,310M
Amerant Bank Arena,00000000dba06abd,N/A,315W 01,315W,315W
Amerant Bank Arena,000000008d319eaf,N/A,315W 02,315W,315W
Amerant Bank Arena,000000003e8c18fa,N/A,315W 03,315W,315W
Amerant Bank Arena,00000000b97a0d0f,N/A,315W 04,315W,315W
Amerant Bank Arena,00000000fce6fbfb,N/A,316M 01,316M,316M
Amerant Bank Arena,00000000328655cd,7,316M 02,316M,316M
Amerant Bank Arena,0000000000b162b2,N/A,316M 03,316M,316M
Amerant Bank Arena,30993361,3,316M 04,316M,316M
Amerant Bank Arena,00000000a060944a,N/A,316M 05,316M,316M
Amerant Bank Arena,00000000469f4e15,2,322M 01,322M,322M
Amerant Bank Arena,00000000392516ac,N/A,322M 02,322M,322M
Amerant Bank Arena,00000000261ea4fb,N/A,322M 03,322M,322M
Amerant Bank Arena,00000000a97ce8d6,N/A,322M 04,322M,322M
Amerant Bank Arena,00000000630c9341,10,322M 05,322M,322M
Amerant Bank Arena,00000000f1d0f08a,N/A,322W 01,322W,322W
Amerant Bank Arena,0000000073e04eda,6,322W 02,322W,322W
Amerant Bank Arena,00000000999884f7,3,322W 03,322W,322W
Amerant Bank Arena,00000000b5475ead,1,322W 04,322W,322W
Amerant Bank Arena,00000000311b4092,16,326M 01,326M,326M
Amerant Bank Arena,00000000499163a6,13,326M 02,326M,326M
Amerant Bank Arena,00000000bc259f03,12,326M 03,326M,326M
Amerant Bank Arena,000000006fee5574,10,326M 04,326M,326M
Amerant Bank Arena,000000008bb9c4a5,8,326M 05,326M,326M
Amerant Bank Arena,00000000f341a354,N/A,326M 06,326M,326M
Amerant Bank Arena,00000000eedb7439,N/A,326M 07,326M,326M
Amerant Bank Arena,00000000c261b7e9,2,326M 08,326M,326M
Amerant Bank Arena,00000000c39b0e9b,8,328W 01,328W,328W
Amerant Bank Arena,000000006909dfb0,6,328W 02,328W,328W
Amerant Bank Arena,0000000071fe0c3b,4,328W 03,328W,328W
Amerant Bank Arena,000000006afad72f,2,328W 04,328W,328W
Amerant Bank Arena,00000000651b6c3d,N/A,332M 01,332M,332M
Amerant Bank Arena,0000000026b035cd,4,332M 02,332M,332M
Amerant Bank Arena,00000000f471640c,6,332M 03,332M,332M
Amerant Bank Arena,00000000a9cf541f,7,332M 04,332M,332M
Amerant Bank Arena,000000000a41bfe8,10,332M 05,332M,332M
Amerant Bank Arena,00000000b5a086f7,N/A,332M 06,332M,332M
Amerant Bank Arena,0000000018da77fc,N/A,332M 07,332M,332M
Amerant Bank Arena,00000000623e924b,12,332W 01,332W,332W
Amerant Bank Arena,00000000d9539d0a,N/A,332W 02,332W,332W
Amerant Bank Arena,000000006dba1ed9,8,332W 03,332W,332W
Amerant Bank Arena,00000000df662e71,N/A,332W 04,332W,332W
Amerant Bank Arena,00000000b2217ab9,4,332W 05,332W,332W
Amerant Bank Arena,00000000c57d8ee5,N/A,332W 06,332W,332W
Amerant Bank Arena,88424772,N/A,332W 07,332W,332W
America First Field,00000000e0773c5c,N/A,02W-01,02W,02W
America First Field,00000000a26f9692,N/A,02W-02,02W,02W
America First Field,000000003018338a,5,02W-03,02W,02W
America First Field,00000000cb9a6e76,7,02W-04,02W,02W
America First Field,00000000c0852415,N/A,02W-05,02W,02W
America First Field,000000008f635063,11,02W-06,02W,02W
America First Field,0000000040bc8acd,2,03M-01,03M,03M_01-8
America First Field,000000000a06a8ca,N/A,03M-02,03M,03M_01-8
America First Field,000000001ffebdfb,6,03M-03,03M,03M_01-8
America First Field,00000000b052a1e5,N/A,03M-04,03M,03M_01-8
America First Field,00000000a0b66160,N/A,03M-05,03M,03M_01-8
America First Field,00000000d031466d,11,03M-06,03M,03M_01-8
America First Field,00000000053c74cc,N/A,03M-07,03M,03M_01-8
America First Field,00000000c050aa72,N/A,03M-08,03M,03M_01-8
America First Field,000000000830a415,2,03M-09,03M,03M_09-16
America First Field,000000002887a81e,N/A,03M-10,03M,03M_09-16
America First Field,00000000a5f5a1da,N/A,03M-11,03M,03M_09-16
America First Field,000000001ccfdb68,N/A,03M-12,03M,03M_09-16
America First Field,000000008d05981c,N/A,03M-13,03M,03M_09-16
America First Field,00000000a5a09e3b,N/A,03M-14,03M,03M_09-16
America First Field,54289075,14,03M-15,03M,03M_09-16
America First Field,000000004fc8c35d,15,03M-16,03M,03M_09-16
America First Field,00000000808eb890,N/A,03M-17,03M,03M_17-24
America First Field,00000000ec40ba5c,N/A,03M-18,03M,03M_17-24
America First Field,000000007fa9a570,N/A,03M-19,03M,03M_17-24
America First Field,00000000a4856db8,N/A,03M-20,03M,03M_17-24
America First Field,0000000081830e1d,10,03M-21,03M,03M_17-24
America First Field,00000000bf061dfe,N/A,03M-22,03M,03M_17-24
America First Field,00000000c9b95983,N/A,03M-23,03M,03M_17-24
America First Field,000000008bc0b359,N/A,03M-24,03M,03M_17-24
America First Field,000000003db415a0,N/A,15W-01,15W,15W
America First Field,00000000039a6576,3,15W-02,15W,15W
America First Field,000000004d33b237,N/A,15W-03,15W,15W
America First Field,00000000c3ef28a5,N/A,15W-04,15W,15W
America First Field,00000000072646a1,N/A,16M-01,16M,16M
America First Field,000000007df2bdaf,N/A,16M-02,16M,16M
America First Field,00000000f53503ba,N/A,16M-03,16M,16M
America First Field,00000000e66f9003,N/A,16M-04,16M,16M
America First Field,000000001f53d252,N/A,16M-05,16M,16M
America First Field,000000002e01bd18,N/A,16M-06,16M,16M
America First Field,00000000643edab6,1,21M-01,21M,21M_1-7
America First Field,0000000033c45936,N/A,21M-02,21M,21M_1-7
America First Field,000000007566f111,N/A,21M-03,21M,21M_1-7
America First Field,00000000ca47017d,N/A,21M-04,21M,21M_1-7
America First Field,00000000a82a49de,N/A,21M-05,21M,21M_1-7
America First Field,00000000742e1402,N/A,21M-06,21M,21M_1-7
America First Field,00000000c7aa0d09,13,21M-07,21M,21M_1-7
America First Field,0000000030b26f8d,N/A,21M-08,21M,21M_22W
America First Field,00000000a939699a,N/A,21M-09,21M,21M_22W
America First Field,000000007cd8579d,N/A,21M-10,21M,21M_22W
America First Field,0000000091be5ba1,N/A,21M-11,21M,21M_22W
America First Field,0000000024bbf975,N/A,22W-01,22W,21M_22W
America First Field,00000000b199d5ea,N/A,22W-02,22W,21M_22W
America First Field,0,N/A,22W-03,22W,21M_22W
America First Field,00000000f33454fa,N/A,22W-04,22W,21M_22W
America First Field,00000000ba96f4f7,N/A,22W-05,22W,21M_22W
America First Field,000000006f244fc3,N/A,28M-01,28M,28M_1-7
America First Field,000000008fa42c48,N/A,28M-02,28M,28M_1-7
America First Field,000000008ead3ab0,6,28M-03,28M,28M_1-7
America First Field,00000000bbccbc5d,10,28M-04,28M,28M_1-7
America First Field,00000000770f8fc0,N/A,28M-05,28M,28M_1-7
America First Field,00000000ed4a44ed,12,28M-06,28M,28M_1-7
America First Field,000000006f3264e3,14,28M-07,28M,28M_1-7
America First Field,00000000e721444c,2,28M-08,28M,28M_8-12_29W_8-9
America First Field,000000003584fc40,4,28M-09,28M,28M_8-12_29W_8-9
America First Field,0000000004fd7264,N/A,28M-10,28M,28M_8-12_29W_8-9
America First Field,0000000025354b7c,7,28M-11,28M,28M_8-12_29W_8-9
America First Field,000000005b44e5d8,10,28M-12,28M,28M_8-12_29W_8-9
America First Field,00000000945d4b35,2,29W-01,29W,29W_1-7
America First Field,000000000a35533f,3,29W-02,29W,29W_1-7
America First Field,000000007c727025,N/A,29W-03,29W,29W_1-7
America First Field,000000007d88973e,N/A,29W-04,29W,29W_1-7
America First Field,00000000a06840c9,10,29W-05,29W,29W_1-7
America First Field,000000000193a41d,11,29W-06,29W,29W_1-7
America First Field,000000006905914c,14,29W-07,29W,29W_1-7
America First Field,000000002fea38eb,17,29W-08,29W,28M_8-12_29W_8-9
America First Field,00000000e30cec18,20,29W-09,29W,28M_8-12_29W_8-9
America First Field,0000000012012f66,N/A,31M-01,31M,31M_1-7
America First Field,0000000059e07db3,N/A,31M-02,31M,31M_1-7
America First Field,000000004a5caf72,5,31M-03,31M,31M_1-7
America First Field,00000000bd379d7c,7,31M-04,31M,31M_1-7
America First Field,00000000450acc23,N/A,31M-05,31M,31M_1-7
America First Field,000000002bddc776,N/A,31M-06,31M,31M_1-7
America First Field,00000000ad0d8c39,14,31M-07,31M,31M_1-7
America First Field,000000006ad06523,2,31M-08,31M,31M_8-14
America First Field,0000000026056d9c,N/A,31M-09,31M,31M_8-14
America First Field,000000000644fda2,5,31M-10,31M,31M_8-14
America First Field,000000009258d112,8,31M-11,31M,31M_8-14
America First Field,0000000082e4786e,N/A,31M-12,31M,31M_8-14
America First Field,000000000c837e81,12,31M-13,31M,31M_8-14
America First Field,00000000e852b510,14,31M-14,31M,31M_8-14
America First Field,000000006b1210dd,N/A,32W-01,32W,32W
America First Field,00000000b8b9ce6c,4,32W-02,32W,32W
America First Field,00000000783292cf,N/A,32W-03,32W,32W
America First Field,000000009889fbd4,N/A,32W-04,32W,32W
America First Field,00000000d40327cf,9,32W-05,32W,32W
America First Field,00000000a455738c,N/A,32W-06,32W,32W
America First Field,000000005ef137fd,N/A,32W-07,32W,32W
America First Field,00000000d219b13a,N/A,32W-08,32W,32W
America First Field,00000000bc021524,N/A,OfficeM-01,OfficeM,Office
America First Field,00000000468fc4f6,N/A,OfficeM-02,OfficeM,Office
America First Field,00000000083aa85e,2,OfficeW-01,OfficeW,Office
America First Field,00000000e608ac3a,N/A,OfficeW-02,OfficeW,Office
Auburn - Neville Arena,100000006a8c6493,N/A,105M 01,105M,105M
Auburn - Neville Arena,100000002006d6e7,N/A,105M 02,105M,105M
Auburn - Neville Arena,1000000084149e7d,N/A,105M 03,105M,105M
Auburn - Neville Arena,10000000348148ed,N/A,105M 04,105M,105M
Auburn - Neville Arena,100000000bb44e3b,N/A,105M 05,105M,105M
Auburn - Neville Arena,10000000ad3f76ff,N/A,105M 06,105M,105M
Auburn - Neville Arena,100000008e6bc490,N/A,105M 07,105M,105M
Auburn - Neville Arena,10000000117499ea,N/A,105W 01,105W,105W
Auburn - Neville Arena,10000000b4294dab,N/A,105W 02,105W,105W
Auburn - Neville Arena,10000000882326cf,N/A,105W 03,105W,105W
Auburn - Neville Arena,100000009176b503,N/A,105W 04,105W,105W
Auburn - Neville Arena,10000000e530a3cd,N/A,105W 05,105W,105W
Auburn - Neville Arena,1000000061b92650,N/A,110M 01,110M,110M
Auburn - Neville Arena,10000000b191dba6,N/A,110M 02,110M,110M
Auburn - Neville Arena,10000000daf7571d,N/A,110M 03,110M,110M
Auburn - Neville Arena,100000004316d02b,N/A,110M 04,110M,110M
Auburn - Neville Arena,100000007287aee2,N/A,110M 05,110M,110M
Auburn - Neville Arena,1000000089f571cd,12,110M 06,110M,110M
Auburn - Neville Arena,10000000ab0f783f,N/A,110M 07,110M,110M
Auburn - Neville Arena,10000000b672572f,N/A,110M 08,110M,110M
Auburn - Neville Arena,100000002114840f,N/A,113W 01,113W,113W
Auburn - Neville Arena,100000005248b191,N/A,113W 02,113W,113W
Auburn - Neville Arena,10000000d489ff6b,N/A,113W 03,113W,113W
Auburn - Neville Arena,100000002679b874,N/A,113W 04,113W,113W
Auburn - Neville Arena,100000009e0795db,N/A,113W 05,113W,113W
Auburn - Neville Arena,100000002f8ee0dd,N/A,115M 01,115M,115M
Auburn - Neville Arena,100000001a349b23,N/A,115M 02,115M,115M
Auburn - Neville Arena,10000000cd0d16c4,N/A,115M 03,115M,115M
Auburn - Neville Arena,100000006c48b7f4,N/A,115M 04,115M,115M
Auburn - Neville Arena,100000004a17c3d2,N/A,115M 05,115M,115M
Auburn - Neville Arena,10000000c5220a96,N/A,117W 01,117W,115M
Auburn - Neville Arena,10000000d1c85595,N/A,117W 02,117W,115M
Auburn - Neville Arena,10000000c157e694,N/A,117W 03,117W,115M
Auburn - Neville Arena,10000000d0b8ca13,N/A,117W 04,117W,115M
Auburn - Neville Arena,10000000a36d15b8,N/A,117W 05,117W,115M
Auburn - Neville Arena,1000000098f80f53,N/A,117W 06,117W,115M
Auburn - Neville Arena,100000002176eb5f,N/A,118M 01,118M,118M
Auburn - Neville Arena,1000000007dddc0e,N/A,118M 02,118M,118M
Auburn - Neville Arena,1000000020ce4657,N/A,118W 01,118W,118M
Auburn - Neville Arena,100000003f12d43d,N/A,118W 02,118W,118M
Auburn - Neville Arena,10000000fbaf0395,N/A,210M 01,210M,210M
Auburn - Neville Arena,1000000099574c66,N/A,210M 02,210M,210M
Auburn - Neville Arena,10000000ae5d7202,N/A,210W 01,210W,210M
Auburn - Neville Arena,1000000026491960,N/A,210W 02,210W,210M
Auburn - Neville Arena,10000000ff736527,N/A,210W 03,210W,210M
Auburn - Neville Arena,1000000053ea20ef,N/A,218M 01,218M,218M
Auburn - Neville Arena,100000007717f109,N/A,218M 02,218M,218M
Auburn - Neville Arena,1000000002ed4a0a,N/A,218M 03,218M,218M
Auburn - Neville Arena,100000007c05619a,N/A,218M 04,218M,218M
Auburn - Neville Arena,100000001a784801,N/A,218W 01,218W,218M
Auburn - Neville Arena,100000002d5408b5,N/A,218W 02,218W,218M
Auburn - Neville Arena,10000000f421f39a,15,218W 03,218W,218M
Auburn - Neville Arena,10000000c605cd5d,N/A,223M 01,223M,223M
Auburn - Neville Arena,1000000073dda766,N/A,223M 02,223M,223M
Auburn - Neville Arena,100000004fc75f0b,N/A,223W 01,223W,223M
Auburn - Neville Arena,100000007e282870,N/A,223W 02,223W,223M
Auburn - Neville Arena,100000005e65a283,N/A,223W 03,223W,223M
Auburn - Neville Arena,10000000f461740d,N/A,E1445M 01,E1445M,E1445M
Auburn - Neville Arena,1000000077aeb5d5,N/A,E1445M 02,E1445M,E1445M
Auburn - Neville Arena,100000007a4fd6a4,N/A,E1446W 01,E1446W,E1445M
Auburn - Neville Arena,100000000b6bd270,N/A,E1446W 02,E1446W,E1445M
Auburn - Neville Arena,100000001a9ab035,N/A,EGM 01,EGM,EG1224M
Auburn - Neville Arena,100000006f557a5b,N/A,EGM 02,EGM,EG1224M
Auburn - Neville Arena,100000006537d3ef,N/A,EGM 03,EGM,EG1224M
Auburn - Neville Arena,10000000dd483395,N/A,EGM 04,EGM,EG1224M
Auburn - Neville Arena,1000000057f6be12,N/A,EGM 05,EGM,EG1224M
Auburn - Neville Arena,100000004a7d1595,N/A,EGM 06,EGM,EG1224M
Auburn - Neville Arena,1000000032a971b6,N/A,EGM 07,EGM,EG1224M
Auburn - Neville Arena,10000000080d0df5,N/A,EGW 01,EGW,EG1224W
Auburn - Neville Arena,100000008dd22d16,N/A,EGW 02,EGW,EG1224W
Auburn - Neville Arena,10000000bab147b8,N/A,EGW 03,EGW,EG1224W
Auburn - Neville Arena,1000000043fb59ea,N/A,EGW 04,EGW,EG1224W
Auburn - Neville Arena,10000000de8733b7,N/A,EGW 05,EGW,EG1224W
Baylor - Foster Pavilion,1000000077fcbec2,1,107M 01,107M,107M6_108W4
Baylor - Foster Pavilion,10000000bafcadf0,5,107M 02,107M,107M6_108W4
Baylor - Foster Pavilion,1000000055a9a49a,7,107M 03,107M,107M6_108W4
Baylor - Foster Pavilion,10000000b43610ed,9,107M 04,107M,107M6_108W4
Baylor - Foster Pavilion,10000000518d38e7,21,107M 05,107M,107M6_108W4
Baylor - Foster Pavilion,100000009f185a44,3,107M 06,107M,107M6_108W4
Baylor - Foster Pavilion,100000001c7ac540,20,108W 01,108W,107M6_108W4
Baylor - Foster Pavilion,10000000f642eb8e,N/A,108W 02,108W,107M6_108W4
Baylor - Foster Pavilion,10000000b94d58e7,14,108W 03,108W,107M6_108W4
Baylor - Foster Pavilion,10000000dc635f7c,15,108W 04,108W,107M6_108W4
Baylor - Foster Pavilion,100000002307fafb,1,110M 01,110M,110M
Baylor - Foster Pavilion,100000002b45237a,N/A,110M 02,110M,110M
Baylor - Foster Pavilion,100000003a242d3b,N/A,110M 03,110M,110M
Baylor - Foster Pavilion,10000000b9ef5b62,N/A,110M 04,110M,110M
Baylor - Foster Pavilion,10000000d12728ef,N/A,110M 05,110M,110M
Baylor - Foster Pavilion,10000000ddebea41,N/A,110M 06,110M,110M
Baylor - Foster Pavilion,10000000ec715d57,N/A,111W 01,111W,110M
Baylor - Foster Pavilion,100000004126b4d4,N/A,111W 02,111W,110M
Baylor - Foster Pavilion,100000008b02e8e3,N/A,111W 03,111W,110M
Baylor - Foster Pavilion,100000001c8a557e,N/A,111W 04,111W,110M
Baylor - Foster Pavilion,1000000063d67605,N/A,113W 01,113W,116M
Baylor - Foster Pavilion,100000008de63961,N/A,113W 02,113W,116M
Baylor - Foster Pavilion,10000000217683f1,N/A,113W 03,113W,116M
Baylor - Foster Pavilion,100000007f84602c,N/A,116M 01,116M,116M
Baylor - Foster Pavilion,10000000fedc8daf,N/A,116M 02,116M,116M
Baylor - Foster Pavilion,10000000d206fb23,N/A,116M 03,116M,116M
Baylor - Foster Pavilion,1000000092ae6d46,N/A,116M 04,116M,116M
Baylor - Foster Pavilion,10000000a1cb65a8,N/A,116M 05,116M,116M
Baylor - Foster Pavilion,10000000e6dbac5d,N/A,118W 01,118W,119M_118W
Baylor - Foster Pavilion,10000000ff40c518,N/A,118W 02,118W,119M_118W
Baylor - Foster Pavilion,1000000037e856f0,N/A,118W 03,118W,119M_118W
Baylor - Foster Pavilion,100000009516b157,N/A,119M 01,119M,119M_118W
Baylor - Foster Pavilion,10000000edd043a1,2,119M 02,119M,119M_118W
Baylor - Foster Pavilion,10000000b99bdee0,N/A,119M 03,119M,119M_118W
Baylor - Foster Pavilion,10000000b7b1d06a,N/A,119M 04,119M,119M_118W
Baylor - Foster Pavilion,10000000642df908,N/A,119M 05,119M,119M_118W
Baylor - Foster Pavilion,100000006f3b7e03,N/A,121W 01,121W,122M
Baylor - Foster Pavilion,100000002dd6fd0d,N/A,121W 02,121W,122M
Baylor - Foster Pavilion,100000009490bc0f,N/A,121W 03,121W,122M
Baylor - Foster Pavilion,10000000b1cddfe3,N/A,121W 04,121W,122M
Baylor - Foster Pavilion,10000000c6bf0149,N/A,122M 01,122M,122M
Baylor - Foster Pavilion,10000000b462f2a4,N/A,122M 02,122M,122M
Baylor - Foster Pavilion,100000004b60e0b8,N/A,122M 03,122M,122M
Baylor - Foster Pavilion,10000000c8a2c0ab,N/A,122M 04,122M,122M
Baylor - Foster Pavilion,10000000096bfc35,N/A,122M 05,122M,122M
Baylor - Foster Pavilion,10000000dac59e0a,N/A,122M 06,122M,122M
Butler - Hinkle Fieldhouse,1000000020eb3bef,N/A,104W 01,104W,104W
Butler - Hinkle Fieldhouse,10000000ff5aa724,N/A,104W 02,104W,104W
Butler - Hinkle Fieldhouse,10000000ad613629,N/A,104W 03,104W,104W
Butler - Hinkle Fieldhouse,10000000907d98d2,N/A,104W 04,104W,104W
Butler - Hinkle Fieldhouse,100000008247fb5b,N/A,107M 01,107M,107M
Butler - Hinkle Fieldhouse,100000003812a217,N/A,107M 02,107M,107M
Butler - Hinkle Fieldhouse,10000000f1c5291e,N/A,107M 03,107M,107M
Butler - Hinkle Fieldhouse,10000000ffc64249,N/A,107M 04,107M,107M
